"","Mean","SD","noOutlierMean","noOutlierSD"
"twoCategory",7.19874918460846,0.458348170597431,7.15874156744584,0.424580329085549
"threeCategory",9.10448779639076,1.13684530505598,9.02924166881677,1.04995912256532
"fourCategory",38.5919021387895,39.6537092755847,32.6148177685945,23.2332627365971
"fiveCategory",2358.03635579944,5224.61124730889,591.402265916552,790.077671308404
"sixCategory",4933.02294912338,2253.14840733182,4933.02294912338,2253.14840733182
